# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 11.0 Build 208 07/03/2011 Service Pack 1 SJ Web Edition
# File: E:/FPGA/sabre_trigger/V1495_Demo1.csv
# Generated on: Sun Apr 24 16:03:03 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength
B[22],Unknown,PIN_N3,1,B1_N1,,,
B[23],Unknown,PIN_M1,1,B1_N1,,,
B[24],Unknown,PIN_H4,1,B1_N1,,,
B[25],Unknown,PIN_G4,1,B1_N0,,,
B[26],Unknown,PIN_F4,1,B1_N0,,,
B[27],Unknown,PIN_G2,1,B1_N0,,,
B[28],Unknown,PIN_F8,2,B2_N2,,,
B[29],Unknown,PIN_E7,2,B2_N2,,,
B[30],Unknown,PIN_D7,2,B2_N2,,,
B[31],Unknown,PIN_C7,2,B2_N2,,,
C[0],Unknown,PIN_U13,4,B4_N0,,,
C[1],Unknown,PIN_Y4,4,B4_N2,,,
C[2],Unknown,PIN_V8,4,B4_N1,,,
C[3],Unknown,PIN_W7,4,B4_N2,,,
C[4],Unknown,PIN_M3,1,B1_N1,,,
C[5],Unknown,PIN_U2,1,B1_N2,,,
C[6],Unknown,PIN_R6,1,B1_N2,,,
C[7],Unknown,PIN_R2,1,B1_N2,,,
C[8],Unknown,PIN_R7,4,B4_N2,,,
C[9],Unknown,PIN_T16,4,B4_N0,,,
C[10],Unknown,PIN_R1,1,B1_N2,,,
C[11],Unknown,PIN_V2,1,B1_N2,,,
C[12],Unknown,PIN_T5,4,B4_N2,,,
C[13],Unknown,PIN_U5,4,B4_N2,,,
C[14],Unknown,PIN_R5,1,B1_N2,,,
C[15],Unknown,PIN_Y7,4,B4_N2,,,
C[16],Unknown,PIN_V5,4,B4_N2,,,
C[17],Unknown,PIN_R4,1,B1_N2,,,
C[18],Unknown,PIN_N4,1,B1_N1,,,
C[19],Unknown,PIN_Y6,4,B4_N2,,,
C[20],Unknown,PIN_V6,4,B4_N2,,,
C[21],Unknown,PIN_Y9,4,B4_N1,,,
C[22],Unknown,PIN_U3,1,B1_N2,,,
C[23],Unknown,PIN_R3,1,B1_N2,,,
C[24],Unknown,PIN_U9,4,B4_N1,,,
C[25],Unknown,PIN_W10,4,B4_N1,,,
C[26],Unknown,PIN_P4,1,B1_N2,,,
C[27],Unknown,PIN_W3,4,B4_N2,,,
C[28],Unknown,PIN_U7,4,B4_N2,,,
C[29],Unknown,PIN_V7,4,B4_N2,,,
C[30],Unknown,PIN_Y10,4,B4_N1,,,
C[31],Unknown,PIN_M5,1,B1_N1,,,
D,Unknown,,,,,,Minimum Current
DDLY[0],Unknown,PIN_U15,4,B4_N0,,,
DDLY[1],Unknown,PIN_M16,3,B3_N1,,,
DDLY[2],Unknown,PIN_N17,3,B3_N1,,,
DDLY[3],Unknown,PIN_W16,4,B4_N0,,,
DDLY[4],Unknown,PIN_D18,3,B3_N0,,,
DDLY[5],Unknown,PIN_N16,3,B3_N1,,,
DDLY[6],Unknown,PIN_U16,4,B4_N0,,,
DDLY[7],Unknown,PIN_V15,4,B4_N0,,,
DIRDDLY,Unknown,PIN_W14,4,B4_N0,,,
D[0],Unknown,PIN_E14,2,B2_N0,,,
D[1],Unknown,PIN_E13,2,B2_N0,,,
D[2],Unknown,PIN_D12,2,B2_N1,,,
D[3],Unknown,PIN_F12,2,B2_N1,,,
D[4],Unknown,PIN_E9,2,B2_N1,,,
D[5],Unknown,PIN_C13,2,B2_N1,,,
D[6],Unknown,PIN_F14,2,B2_N0,,,
D[7],Unknown,PIN_F16,3,B3_N0,,,
D[8],Unknown,PIN_F19,3,B3_N0,,,
D[9],Unknown,PIN_H15,3,B3_N0,,,
D[10],Unknown,PIN_D16,2,B2_N0,,,
D[11],Unknown,PIN_E10,2,B2_N1,,,
D[12],Unknown,PIN_C19,3,B3_N0,,,
D[13],Unknown,PIN_C18,3,B3_N0,,,
D[14],Unknown,PIN_E15,2,B2_N0,,,
D[15],Unknown,PIN_D14,2,B2_N0,,,
D[16],Unknown,PIN_G14,3,B3_N0,,,
D[17],Unknown,PIN_G17,3,B3_N0,,,
D[18],Unknown,PIN_G16,3,B3_N0,,,
D[19],Unknown,PIN_F17,3,B3_N0,,,
D[20],Unknown,PIN_D19,3,B3_N0,,,
D[21],Unknown,PIN_E17,3,B3_N0,,,
D[22],Unknown,PIN_D20,3,B3_N0,,,
D[23],Unknown,PIN_F20,3,B3_N0,,,
D[24],Unknown,PIN_E18,3,B3_N0,,,
D[25],Unknown,PIN_E19,3,B3_N0,,,
D[26],Unknown,PIN_J18,3,B3_N1,,,
D[27],Unknown,PIN_K15,3,B3_N1,,,
D[28],Unknown,PIN_J16,3,B3_N1,,,
D[29],Unknown,PIN_M15,3,B3_N1,,,
D[30],Unknown,PIN_K16,3,B3_N1,,,
D[31],Unknown,PIN_J17,3,B3_N1,,,
E,Unknown,,,,,,Minimum Current
E[0],Unknown,PIN_V10,4,B4_N1,,,
E[1],Unknown,PIN_Y15,4,B4_N0,,,
E[2],Unknown,PIN_T6,4,B4_N2,,,
E[3],Unknown,PIN_W15,4,B4_N0,,,
E[4],Unknown,PIN_R11,4,B4_N1,,,
E[5],Unknown,PIN_U12,4,B4_N1,,,
E[6],Unknown,PIN_R13,4,B4_N1,,,
E[7],Unknown,PIN_P1,1,B1_N2,,,
E[8],Unknown,PIN_G15,3,B3_N0,,,
E[9],Unknown,PIN_H19,3,B3_N1,,,
E[10],Unknown,PIN_H18,3,B3_N1,,,
E[11],Unknown,PIN_G19,3,B3_N0,,,
E[12],Unknown,PIN_H17,3,B3_N1,,,
E[13],Unknown,PIN_G20,3,B3_N0,,,
E[14],Unknown,PIN_J4,1,B1_N1,,,
E[15],Unknown,PIN_G18,3,B3_N0,,,
E[16],Unknown,PIN_V4,4,B4_N2,,,
E[17],Unknown,PIN_P7,1,B1_N2,,,
E[18],Unknown,PIN_U10,4,B4_N1,,,
E[19],Unknown,PIN_W4,4,B4_N2,,,
E[20],Unknown,PIN_V13,4,B4_N0,,,
E[21],Unknown,PIN_T3,1,B1_N2,,,
E[22],Unknown,PIN_N2,1,B1_N1,,,
E[23],Unknown,PIN_N1,1,B1_N1,,,
E[24],Unknown,PIN_F1,1,B1_N0,,,
E[25],Unknown,PIN_G1,1,B1_N0,,,
E[26],Unknown,PIN_E2,1,B1_N0,,,
E[27],Unknown,PIN_A17,2,B2_N0,,,
E[28],Unknown,PIN_J15,3,B3_N1,,,
E[29],Unknown,PIN_D13,2,B2_N1,,,
E[30],Unknown,PIN_C16,2,B2_N0,,,
E[31],Unknown,PIN_E12,2,B2_N1,,,
F,Unknown,,,,,,Minimum Current
FPGA[0],Unknown,PIN_E4,1,B1_N0,,,
FPGA[1],Unknown,PIN_E3,1,B1_N0,,,
FPGA[2],Unknown,PIN_B3,2,B2_N2,,,
FPGA[3],Unknown,PIN_B8,2,B2_N1,,,
F[0],Unknown,PIN_T13,4,B4_N1,,,
F[1],Unknown,PIN_Y12,4,B4_N1,,,
F[2],Unknown,PIN_M6,1,B1_N1,,,
F[3],Unknown,PIN_W13,4,B4_N0,,,
F[4],Unknown,PIN_T17,3,B3_N2,,,
F[5],Unknown,PIN_R16,3,B3_N2,,,
F[6],Unknown,PIN_T10,4,B4_N1,,,
F[7],Unknown,PIN_P14,3,B3_N2,,,
F[8],Unknown,PIN_P18,3,B3_N2,,,
F[9],Unknown,PIN_R17,3,B3_N2,,,
F[10],Unknown,PIN_N7,1,B1_N2,,,
F[11],Unknown,PIN_N6,1,B1_N1,,,
F[12],Unknown,PIN_V18,3,B3_N2,,,
F[13],Unknown,PIN_U18,3,B3_N2,,,
F[14],Unknown,PIN_N15,3,B3_N1,,,
F[15],Unknown,PIN_T2,1,B1_N2,,,
F[16],Unknown,PIN_U14,4,B4_N0,,,
F[17],Unknown,PIN_T15,4,B4_N0,,,
F[18],Unknown,PIN_V14,4,B4_N0,,,
F[19],Unknown,PIN_R14,4,B4_N0,,,
F[20],Unknown,PIN_T11,4,B4_N1,,,
F[21],Unknown,PIN_U11,4,B4_N1,,,
F[22],Unknown,PIN_V11,4,B4_N1,,,
F[23],Unknown,PIN_R9,4,B4_N1,,,
F[24],Unknown,PIN_T14,4,B4_N0,,,
F[25],Unknown,PIN_Y14,4,B4_N0,,,
F[26],Unknown,PIN_W11,4,B4_N1,,,
F[27],Unknown,PIN_Y11,4,B4_N1,,,
F[28],Unknown,PIN_T9,4,B4_N1,,,
F[29],Unknown,PIN_T12,4,B4_N1,,,
F[30],Unknown,PIN_V9,4,B4_N1,,,
F[31],Unknown,PIN_T8,4,B4_N2,,,
GIN[0],Unknown,PIN_L14,3,B3_N1,,,
GIN[1],Unknown,PIN_F18,3,B3_N0,,,
GOUT[0],Unknown,PIN_P20,3,B3_N2,,,
GOUT[1],Unknown,PIN_L13,3,B3_N1,,,
IDD,Unknown,,,,,,
IDD[0],Unknown,PIN_E16,2,B2_N0,,,
IDD[1],Unknown,PIN_J6,1,B1_N1,,,
IDD[2],Unknown,PIN_C17,2,B2_N0,,,
IDE,Unknown,,,,,,
IDE[0],Unknown,PIN_H16,3,B3_N0,,,
IDE[1],Unknown,PIN_J13,3,B3_N1,,,
IDE[2],Unknown,PIN_M14,3,B3_N1,,,
IDF,Unknown,,,,,,
IDF[0],Unknown,PIN_W12,4,B4_N1,,,
IDF[1],Unknown,PIN_R18,3,B3_N2,,,
IDF[2],Unknown,PIN_V12,4,B4_N1,,,
LAD[0],Unknown,PIN_B17,2,B2_N0,,,
LAD[1],Unknown,PIN_B15,2,B2_N0,,,
LAD[2],Unknown,PIN_B18,2,B2_N0,,,
LAD[3],Unknown,PIN_J1,1,B1_N1,,,
LAD[4],Unknown,PIN_B5,2,B2_N2,,,
LAD[5],Unknown,PIN_A11,2,B2_N1,,,
LAD[6],Unknown,PIN_B14,2,B2_N0,,,
LAD[7],Unknown,PIN_B10,2,B2_N1,,,
LAD[8],Unknown,PIN_B13,2,B2_N0,,,
LAD[9],Unknown,PIN_G7,1,B1_N0,,,
LAD[10],Unknown,PIN_B7,2,B2_N2,,,
LAD[11],Unknown,PIN_E8,2,B2_N2,,,
LAD[12],Unknown,PIN_E11,2,B2_N1,,,
LAD[13],Unknown,PIN_H14,3,B3_N1,,,
LAD[14],Unknown,PIN_B9,2,B2_N1,,,
LAD[15],Unknown,PIN_B16,2,B2_N0,,,
LCLK,Unknown,PIN_K5,1,B1_N1,,,
PULSE[0],Unknown,PIN_F3,1,B1_N0,,,
PULSE[1],Unknown,PIN_C6,2,B2_N2,,,
PULSE[2],Unknown,PIN_T4,1,B1_N2,,,
PULSE[3],Unknown,PIN_C15,2,B2_N0,,,
SELD,Unknown,PIN_F15,3,B3_N0,,,
SELE,Unknown,PIN_T18,3,B3_N2,,,
SELF,Unknown,PIN_W5,4,B4_N2,,,
SELG,Unknown,PIN_P16,3,B3_N2,,,
SPARE[0],Unknown,PIN_U19,3,B3_N2,,,
SPARE[1],Unknown,PIN_W18,3,B3_N2,,,
SPARE[2],Unknown,PIN_U20,3,B3_N2,,,
SPARE[3],Unknown,PIN_V19,3,B3_N2,,,
SPARE[4],Unknown,PIN_P19,3,B3_N2,,,
SPARE[5],Unknown,PIN_N20,3,B3_N1,,,
SPARE[6],Unknown,PIN_D3,1,B1_N0,,,
SPARE[7],Unknown,PIN_D2,1,B1_N0,,,
SPARE[8],Unknown,PIN_U4,1,B1_N2,,,
SPARE[9],Unknown,PIN_N5,1,B1_N2,,,
SPARE[10],Unknown,PIN_J7,1,B1_N1,,,
SPARE[11],Unknown,PIN_H7,1,B1_N0,,,
START[0],Unknown,PIN_V17,4,B4_N0,,,
START[1],Unknown,PIN_V16,4,B4_N0,,,
WR_DLY0,Unknown,PIN_Y17,4,B4_N0,,,
WR_DLY1,Unknown,PIN_W17,4,B4_N0,,,
WnR,Unknown,PIN_A4,2,B2_N2,,,
nADS,Unknown,PIN_A10,2,B2_N1,,,
nBLAST,Unknown,PIN_A15,2,B2_N0,,,
nINT,Unknown,PIN_A7,2,B2_N2,,,
nLBRES,Unknown,PIN_A14,2,B2_N0,,,
nLEDG,Unknown,PIN_K19,3,B3_N1,,,Minimum Current
nLEDR,Unknown,PIN_D17,3,B3_N0,,,Minimum Current
nOED,Unknown,PIN_J2,1,B1_N1,,,
nOEDDLY0,Unknown,PIN_P17,3,B3_N2,,,
nOEDDLY1,Unknown,PIN_R15,3,B3_N2,,,
nOEE,Unknown,PIN_N14,3,B3_N2,,,
nOEF,Unknown,PIN_Y13,4,B4_N0,,,
nOEG,Unknown,PIN_P15,3,B3_N2,,,
nREADY,Unknown,PIN_A6,2,B2_N2,,,
nSTART[2],Unknown,PIN_R20,3,B3_N2,,,
nSTART[3],Unknown,PIN_R19,3,B3_N2,,,
